商品編號,商品名稱,分類,單位,價格,商品敘述
256,郵票8元,文具用品類,份,8,
257,郵票15元,文具用品類,份,15,
258,郵票28元,文具用品類,份,28,
259,郵票35元,文具用品類,份,35,
260,郵票1元,文具用品類,份,1,
262,膠水,文具用品類,個,10,
263,橡皮擦,文具用品類,個,10,
264,修正帶,文具用品類,個,40,
265,原子筆,文具用品類,支,10,
266,信封,文具用品類,份,20,
268,彩色信紙,文具用品類,份,30,
269,十行紙,文具用品類,份,50,
270,筆記本,文具用品類,本,20,
271,補充帶,文具用品類,個,30,
272,牛皮紙袋,文具用品類,份,10,
273,夾鏈袋,文具用品類,個,20,
274,夾鏈筆帶,文具用品類,個,10,
275,免削鉛筆,文具用品類,個,10,
276,證券筆,文具用品類,支,30,
277,彩虹筆,文具用品類,支,10,
278,航空信封,文具用品類,份,20,
279,中性筆,文具用品類,支,10,
280,名牌套,文具用品類,格,10,
281,萬用卡片,文具用品類,份,20,
288,狀紙,文具用品類,份,10,
1,五星,罐頭食品,罐,90,
2,花瓜,罐頭食品,罐,30,
3,花生醬,罐頭食品,罐,100,
4,香筍鮪魚,罐頭食品,罐,50,
5,紅蔥酥拌醬,罐頭食品,罐,80,
6,新東陽滷肉燥,罐頭食品,罐,40,
7,朝天椒,罐頭食品,罐,70,
8,麻婆豆腐,罐頭食品,罐,60,
9,豬肉醬,罐頭食品,罐,60,
10,沙茶醬,罐頭食品,罐,110,
35,海鮮醬,罐頭食品,罐,100,
48,新東陽肉鬆,罐頭食品,罐,170,
50,雞肉鬆,罐頭食品,罐,160,
68,寬麵條,罐頭食品,罐,50,
7000,時令水果,罐頭食品,罐,60,
909,精華液,生活百貨類,瓶,240,
910,電話卡,生活百貨類,瓶,110,
911,絲瓜水,生活百貨類,瓶,150,
912,染髮劑,生活百貨類,瓶,150,
201,棉花棒,生活百貨類,瓶,10,
202,牙線棒,生活百貨類,瓶,30,
203,康乃馨護墊,生活百貨類,包,40,
204,康乃馨御守棉,生活百貨類,包,70,
205,康乃馨28CM,生活百貨類,包,50,
206,毛巾,生活百貨類,件,40,
20701,仲洲拖鞋9號,生活百貨類,雙,90,
20702,仲洲拖鞋9.5號,生活百貨類,雙,90,
20703,仲洲拖鞋10號,生活百貨類,雙,90,
20704,仲洲拖鞋10.5號,生活百貨類,雙,90,
20705,仲洲拖鞋11號,生活百貨類,雙,90,
20801,百雄拖鞋8.5號,生活百貨類,雙,60,
20802,百雄拖鞋9號,生活百貨類,雙,60,
20803,百雄拖鞋9.5號,生活百貨類,雙,60,
20804,百雄拖鞋10號,生活百貨類,雙,60,
20805,百雄拖鞋10.5號,生活百貨類,雙,60,
20806,百雄拖鞋11號,生活百貨類,雙,60,
