商品名稱,分類,單位,價格,商品敘述
龍角散香檬草本喉糖,監內百貨商品,份,110,食品類
嗨啾综合水果軟糖,監內百貨商品,份,96,食品類
成豐葵花子,監內百貨商品,份,52,食品類
德昌滷肉豆乾,監內百貨商品,份,76,食品類
北海鱈魚香絲,監內百貨商品,份,80,食品類
盛香珍-小魚干花生,監內百貨商品,份,70,食品類
北海道牛奶風味雪餅,監內百貨商品,份,125,食品類
雪之戀 牛軋餅,監內百貨商品,份,100,食品類
義美-杏仁巧克力酥片,監內百貨商品,份,60,食品類
老楊-超濃起司方塊酥,監內百貨商品,份,95,食品類
新貴派-巧克力花生,監內百貨商品,份,55,食品類
密蘭諾-千層鬆塔,監內百貨商品,份,45,食品類
卡辣姆久洋芋片,監內百貨商品,份,32,食品類
黑師傅-捲心酥,監內百貨商品,份,110,食品類
Lotte 樂天蛋黃派量,監內百貨商品,份,72,食品類
卡茲爆米花,監內百貨商品,份,58,食品類
苔嗑-胡椒漿鹽脆海苕,監內百貨商品,份,72,食品類
超厚黑胡椒豬肉條,監內百貨商品,份,115,食品類
味丹-多喝水（大),監內百貨商品,份,14,飲料類
悅式礦泉水（小）,監內百貨商品,瓶,8,飲料類
可口可樂,監內百貨商品,瓶,28,飲料類
黑松沙士,監內百貨商品,瓶,23,飲料類
維大力汽水,監內百貨商品,瓶,23,飲料類
立頓-英式奶茶,監內百貨商品,瓶,26,飲料類
健酪-乳酸氣泡飲,監內百貨商品,瓶,22,飲料類
FIN健康補给運飲料,監內百貨商品,瓶,23,飲料類
紅牌-速纖維飲料,監內百貨商品,瓶,22,飲料類
愛之味-分解茶,監內百貨商品,瓶,30,飲料類
每朝-健康缘茶,監內百貨商品,瓶,30,飲料類
統一-科學麵,監內百貨商品,份,9,泡麵類
統一-肉燥麵,監內百貨商品,份,17,泡麵類
統一-蔥燒牛肉麵,監內百貨商品,份,18,泡麵類
维力-炸醬麵,監內百貨商品,份,17,泡麵類
大乾麵-泡麵系列,監內百貨商品,份,18,泡麵類
香菇肉羹湯麵,監內百貨商品,份,17,泡麵類
